lokalizacja,opis,cena,do_wynajecia_przez,wspoldzielenie,wielkosc,liczba_pokoi,rodzaj_nieruchomosci,preferowana_plec,palacy,przyjazne_zwierzakom,liczba_wyrazow
"Kraków, Małopolskie","Wynajmę pokój studentowi w ścisłym centrum Krakowa. W cenie najmu
zawarte są media plus internet.",700,Właściciel,Współdzielenie mieszkania/domu,148,5 pokoi,Mieszkanie,Mężczyzna,Nie,Nie,15
"Kraków, Małopolskie","Witam wszystkich
zainteresowanych!

Posiadam do wynajęcia pokój
dwuosobowy dla dwóch osob ok.18m2. znajdujący na ul. Nowohuckiej (przystanek
Koszykarska).

W pokoju znajdują się dwa łóżka, dwa biurka, 3 krzesła, duża szafa, oraz ładny stoliczek. Dodatkowo w pokoju
jest telewizor. Pokój posiada dwa okna, na podłodze parkiet. Mieszkanie
niedługo po remoncie odnowiona i zadbana kuchnia(kuchenka elektryczno-gazowa, nowa lodówka i pralka, umeblowana), łazienka jest zadbana i zaopatrzona w
potrzebną armaturę:-) jak na złączonych zdjęciach. W mieszkaniu znajdują się jeszcze
dwa pokoje jednoosobowe. Docelowo w mieszkaniu będzie mieszkać 4-5osób.

Mieszkanie znajduje się w
budynku budownictwa z lat 90, z cegły, docieplony. Osiedle jest bardzo dobrze
skomunikowane przestanek Koszykarska(174, 178) dojazd do M1, uczelnie AWF, Wydział Mechaniczny PK, Campus UJ. W pobliżu także przestanki Saska, Stoczniowców gdzie dojedziemy do ronda Mogliskiego(Uniwersytet Ekonomiczny), przesiadki z dojazdem w różne strony Krakowa: do Centrum 2 przestanki, uczelnie
AGH, UR. Dojazd na Kazimierz 15-20min.

Istnieje możliwość doposażenia
mieszkania: usunięcie mebli, dodanie nowych tak, by warunki mieszkalne były jak
najbardziej korzystne;-)

Preferowane osoby spokojne, niekoniecznie palące, oprócz studentów do mieszkania zapraszam również osoby
pracujące.

Cena podlega negocjacji;-) 

-  cena za osobę 520zł + rachunki niezmienne
przez okres całego wynajmu(w tym czynsz, opłata za gaz i prąd, internet, telewizja kablowa 150zł). Kaucja 500zł. 

Serdecznie zapraszam do
oglądania;-)",520,Właściciel,Współdzielenie mieszkania/domu,18,3 pokoje,Mieszkanie,Bez preferencji,Tak,Tak,212
"Kraków, Małopolskie","Witam, mamy do wynajęcia pokój dwuosobowy w mieszkaniu 3-pokojowym na trzecim piętrze. Pokój jest umeblowany (2 kanapy, biurko, szafa, stolik). W mieszkaniu jest oddzielna kuchnia, łazienka oraz osobna toaleta.  W przedpokoju znajduje się duża szafa oraz szafka na buty. Cena od os. 685 zł ze wszystkim. Do wynajęcia od zaraz. Zainteresowanych proszę o kontakt. Tel. 516693906 oraz 512295131",685,Właściciel,Współdzielenie mieszkania/domu,65,3 pokoje,Mieszkanie,Bez preferencji,Tak,Tak,59
"Kraków, Małopolskie","do wynajęcia pokój jednoosobowy dla dziewczyny niepalącej, uczącej się lub pracującej w KRAKOWIE osiedle 1000 lecia 12m2 czynsz 600 zł  łącznie  , połączenie komunikacyjne bardzo dobre-tramwaje + liczne autobusy, w pozostałych  pomieszczeniach  mieszka dwie osoby w tym właścicielka+piesek-   zapraszam pozdrawiam",600,Właściciel,Współdzielenie mieszkania/domu,48,3 pokoje,Mieszkanie,Kobieta,Nie,Tak,40
"Kraków, Małopolskie","Do wynajęcia pokój dwu osobowy o powierzchni 12m^2 w mieszkaniu składającym się z dwóch pokoi, łazienki z WC i kuchni; 
dzielnica  Krowodrza, ulica Władysława Łokietka 21B.
W drugim pokoju mieszka dwóch spokojnych studentów.
Dogodna lokalizacja - 20 min piechotą na rynek i do stacji PKP, 10 min 
na Nowy Kleparz. Blisko krakowskich uczelni AGH, UJ, UR, PK.
Całkowity koszt wynajmu to 550zł/miesiąc/osobę (+ kaucja 550zł/os). Zapraszam do prezentacji na miejscu.",550,Właściciel,Współdzielenie mieszkania/domu,12,2 pokoje,Mieszkanie,Bez preferencji,Nie,Tak,72
"Kraków, Małopolskie",Wynajmę pokój 2-osobowy w mieszkaniu 3-pokojwym na os.Krowodrza Górka przy ul.Rusznikarskiej.,550,Właściciel,Współdzielenie mieszkania/domu,44,3 pokoje,Mieszkanie,Bez preferencji,Tak,Tak,13
"Kraków, Małopolskie","Do wynajęcia pokój dla dwóch osób o powierzchni 20 m2 w centrum Krakowa.W pełni umeblowane. W mieszkaniu lodówka, pralka, aneks kuchenny.Cena 800 zł (do końca października) w opłacie zawarta woda i śmieci. W sezonie grzewczym pokój kosztuje 700 zł (z wodą i śmieciami). Dodatkowo płatna energia elektryczna.Prowizja dla biura 300 zł (możliwość wystawienia FVAT)Kaucja za mieszkanie jednomiesięczny czynsz.Kontakt: 502-479-098",800,Agencja,Współdzielenie pokoju,20,2 pokoje,Mieszkanie,Bez preferencji,Tak,Tak,62
"Kraków, Małopolskie","Do wynajęcia przestronny ponad 13 m pokój na Azorach przy ul. Heleny Modrzejewskiej. W pobliżu wiele sklepów, aptek, dogodne i szybkie połączenia praktycznie we wszystkich kierunkach Krakowa. Mieszkanie jest po gruntownym remoncie wykończone w wysokim standardzie. Kuchnia jest kompletnie wyposażona kuchenka, mikrofala, zmywarka itp. Pozostałe 2 pokoje są wynajęte przez 2 młode pracujące osoby po studiach. Do wynajęcia wyłącznie w pojedynkę.Cena: 950 zł (w cenie uwzględnione są już wszystkie opłaty czynsz media itp.!!!)",950,Właściciel,Współdzielenie mieszkania/domu,64,3 pokoje,Mieszkanie,Bez preferencji,Tak,Tak,73
"Kraków, Małopolskie","Witam, mam do wynajęcia pokój jednoosobowy z balkonem w nowym mieszkaniu 2 pokojowym dla dziewczyny pracującej lubiacej porządek, okolica ronda czyzyny, 15 min tramwajem do centrum, mieszkanie posiada też salon, a w drugi pokój zajmuje pracujaca dziewczyna w wieku 35 opłaty wraz z mediami i internetem 800zl",800,Właściciel,Współdzielenie mieszkania/domu,60,3 pokoje,Mieszkanie,Kobieta,Nie,Nie,47
"Kraków, Małopolskie","Pragnę zaoferować duży, umeblowany, wyremontowany, jasny, 2-osobowy pokój w wysokim standardzie do wynajęcia dla studentek, niedaleko UEk. Mieszkanie mieści się w bezpiecznej i cichej okolicy w dzielnicy Śródmieście (centrum), pieszo 5 min od UEk, 10 min od Dworca Głównego i Rynku. W okolicy znajdują się banki, poczta, sklepy przystanki komunikacji miejskiej. W mieszkaniu znajdują się 3 pokoje, aneks kuchenny, łazienka i ubikacja osobno. Mieszkanie jest umeblowane z dostępem do mediów. Czynsz to 600 zł / os. miesięcznie. Jeśli jesteś zainteresowany zadzwoń i umów się na spotkanie. Serdecznie zapraszam do osobistego oglądania.",600,Właściciel,Współdzielenie pokoju,25,3 pokoje,Mieszkanie,Kobieta,Nie,Nie,91
"Kraków, Małopolskie","Dzień Dobry Do wynajęcia miejsce w pokoju 3 os /24m2/, pokoju mieszkają 2 studentki 2 i 3 r studiów , mieszkanie 3 pokojowe /90 m2 / , duza kuchnia z balkonem  , osobno lazienka z prysznicem , osobno WC , Mieszkanie w kamienicy , centralne ogrzewanie , pokój bardzo słoneczny , mieszkają tu studentki i studenci I roku st , mieszkanie umeblowane , wyposażone w sprzet AGD , Bardzo dobra lokalizacja , do AGH , UJ , UR , Rynku - ok 10-15 min pieszo , obok Kino Kijow , Błonia Krakowskie , blisko Wawel , sklepy , tuz obok autobusy i tramwaje Koszt 420 zl /w tym koszt ogrzewania / + media ok 50-60 zl od os  zapraszamy , tel 606663676",420,Właściciel,Współdzielenie pokoju,90,3 pokoje,Mieszkanie,Kobieta,Nie,Nie,99
"Kraków, Małopolskie","Do wynajęcia pokój 2 osobowy dla spokojnych, szanujących ciszę, nie imprezujących dziewczyn/studentek w przytulnym mieszkaniu na Ruczaju ul. Zbrojarzy (piechotą 10 minut na Kampus UJ!!). Pokój jest przestronny z balkonem (na zdjęciach osoby są w trakcie wyprowadzki). Mieszkanie jest w pełni wyposażone. Dostępny od zaraz.Cena od osoby to tylko 550 zł. W pobliżu znajdują się sklepy: Biedronka, Lidl, Żabka. Blisko do komunikacji miejskiej, przystanki: Sanktuarium Bożego Miłosierdzia, Rostworowskiego, Lipińskiego.Zapraszam na priv :)",550,Właściciel,Współdzielenie mieszkania/domu,52,2 pokoje,Mieszkanie,Kobieta,Nie,Tak,72
"Kraków, Małopolskie","Wynajmę samodzielny pokój dwuosobowy, 20 m2 , studentom w mieszkaniu 3 pokojowym. bardzo dobra lokalizacja, blisko centrum. Okolice AGH. Pokoj umeblowany : regały na książki , łóżka, stoły. Szafy zabudowane w przedpokoju. Kuchnia wyposażona w lodówke, kuchenkę z piekarnikiem, zmywarkę i drobne sprzęty. Łazienka z pralką. Oddzielna ubikacja. W mieszkaniu mieszkają juz dwie studentki , niepalące , spokojne. Koszt całkowity najmu z mediami - 650 zł od osoby. Kaucja zwrotna 400 zł. Kontakt na numer: 604 771 424.",650,Właściciel,Współdzielenie mieszkania/domu,60,3 pokoje,Mieszkanie,Kobieta,Nie,Nie,72
"Kraków, Małopolskie","Wynajmę pokój spokojnej studentce na ul.Balickiej 31 (przystanek Bronowice Małe). Mieszkanie znajduje się w świetnej lokalizacji, niedaleko zajezdnia tramwajowa i przystanek autobusowy. Do wynajęcia jest pokój jednoosobowy w mieszkaniu dwupokojowym (w drugim pokoju mieszkam ja - studentka 1roku geodezji i kartografii). Do wspólnej dyspozycji jest kuchnia, łazienka oraz ogród. Mieszkanie jest umeblowane. Koszt wynajmu to 700 zł + opłata za prąd. Kaucja zwrotna wynosi 700zł. Więcej informacji pod nr tel 516660425.",700,Właściciel,Współdzielenie mieszkania/domu,12,2 pokoje,Mieszkanie,Kobieta,Tak,Tak,69
"Kraków, Małopolskie","Wynajmę pokój dla 1os (15M2) w dużym 100-metrowym mieszkaniu - duza kuchnia, salon, wspólny tarasŚWIEŻO POMALOWANY!!! wysokie sufity, jasny-duzo okienBudynek z 2010r. W mieszkaniu jest 5 pokoi - będzie mieszkać 5 osób.UL. STYKI/UL.WYBICKIEGO 
Bezpośrednio od właściciela 
Wszystkie pokoje są zamykane na klucz. 


MEBLE W POKOJU: 1 wersalka, szafa dwudrzwiowa, krzesło, biurko, regał na ksiązki 
WYPOSAŻENIE I SPRZĘT W MIESZKANIU:
kuchnia i łazienka w pełni wyposażone i umeblowane, pralka, płyta elektryczna, piekarnik elektryczny, duża lodówka 
INTERNET i TV: sieć internetowa ISTS
i TV kablowa ISTS (za dodatkową opłatą - ok.10-15zl od osoby), PARKING: przed budynkiem znajdują się bezpłatne PRYWATNE miejsca parkingowe. 

ROWEROWNIA GRATIS!
CENA:950 zl plus mediaIDEALNY DOJAZD DO RYNKU, AGH I ZABIERZOWA
(naprzeciwko stacja PKP Łobzów - 10min pociagiem do Krakow Business Park), 5min do przystanku autobusowego ""Łobzów PKP""(autobusy 130, 144, 194, 102 do
AGH, AP, PK, Galerii Krakowskiej)Blisko sklepy: Lewiatan 100m, Biedronka 200m, Tesco 24h - 300m, blisko Apteka, kościół, 2 parki: Park Wyspiańskiego i Park Krowoderski
UWAGA: poszukujemy lokatorów bez zwierząt 
tel. 692 469 085 (można dzwonić 7 dni w tyg, w godzinach 7.00-23.00) 
Media - średnio w całym poprzednim roku 120zł/miesiąc od osoby (latem mniej niż 100 zł, zimą więcej, bo dochodzi ogrzewanie)POKÓJ DOSTĘPNY OD  15.11.2016",950,Właściciel,Współdzielenie mieszkania/domu,15,5 pokoi,Mieszkanie,Bez preferencji,Tak,Nie,204
"Kraków, Małopolskie",do wynajęcia pokój jednoosobowy dla dziewczyny niepalącej pracującej lub uczącej się w Krakowie osiedle 1000 lecia  8m2 cena 550 zł  łącznie połączenie bardzo dobre we wszystkich kierunkach tramwaje + liczne autobusy w mieszkaniu mieszka właścicielka + piesek,550,Właściciel,Współdzielenie mieszkania/domu,48,3 pokoje,Mieszkanie,Kobieta,Nie,Tak,35
"Kraków, Małopolskie","Witam, mam do zaoferowania duzy pokój z 25m2. Mieszkanie w pełni wyposażone, wszystko nowe. Osiedle strzeżone, dobra komunikacja. W pobliżu park wodny, multikino, hipermarket.
Koszt: 400/osoba plus media. Wymagana kaucja
Kontakt:667492093",400,Właściciel,Współdzielenie mieszkania/domu,20,3 pokoje,Mieszkanie,Bez preferencji,Nie,Nie,33
"Kraków, Małopolskie","Jasny, ciepły pokój jednoosobowy dla niepalącego studenta. Świetna lokalizacja w pobliżu centrum i wielu uczelni (AGH, UP, UJ, UR i inne) Powierzchnia 8m2, oddzielny przedpokój, internet. Cena 450zł + media. Kontakt telefoniczny - 570459444",450,Właściciel,Współdzielenie mieszkania/domu,89,4 pokoje,Mieszkanie,Mężczyzna,Nie,Nie,32
"Kraków, Małopolskie","Pragnę zaoferować duży, umeblowany, wyremontowany, jasny, 2-osobowy pokój w wysokim standardzie do wynajęcia dla studentek, niedaleko UEk. Mieszkanie mieści się w bezpiecznej i cichej okolicy w dzielnicy Śródmieście (centrum), pieszo 5 min od UEk, 10 min od Dworca Głównego i Rynku. W okolicy znajdują się banki, poczta, sklepy przystanki komunikacji miejskiej. W mieszkaniu znajdują się 3 pokoje, aneks kuchenny, łazienka i ubikacja osobno. Mieszkanie jest umeblowane z dostępem do mediów. Czynsz to 600 zł / os. miesięcznie. Jeśli jesteś zainteresowany zadzwoń i umów się na spotkanie. Serdecznie zapraszam do osobistego oglądania.",600,Właściciel,Współdzielenie pokoju,25,3 pokoje,Mieszkanie,Kobieta,Nie,Nie,91
"Kraków, Małopolskie","Wynajmę od zaraz osobny nieprzechodni pokój bez właściciela. Mieszkanie jest wyposażone we wszystko co niezbędne do wygodnego mieszkania. Jest mikrofala, pralka, kabina prysznicowa, osobna toaleta. (Internet do ustalenia z lokatorami) Szafa i regały do dyspozycji... Nowe okna gwarantują ciepło w okresie zimowym. Spokojna (cicha) lokalizacja. W pobliżu apteka, poczta, biblioteka, Politechnika Krakowska, AWF, Real, Multikino, Park Wodny, Alma. Doskonale połączenia komunikacji miejskiej z centrum i reszta miasta.
1-osobowy duży pokój w cenie 7000PLN miesiecznie + oplaty
*Za każdy pokój pobierana jest jednorazowa zwrotna kaucja w wysokości jednomiesięcznego czynszu. Opłaty, czyli prąd, gaz, woda wnoszą osoby wynajmujące pokoje płatne bezpośrednio u dostawcy. PGNiG, Tauron, SM. czas trwania umowy to min 6 miesięcy. Więcej informacji lub spraw rekonesansu :P pod numerem telefonu 886 079 059.",700,Właściciel,Współdzielenie mieszkania/domu,54,3 pokoje,Mieszkanie,Kobieta,Tak,Tak,123
"Kraków, Małopolskie","Wynajmę pokój jednoosobowy o powierzchni 18 m  na Oś. Podwawelskim, niepalącemu studentowi.Do dyspozycji kuchnia i łazienka.W cenę wliczone są media i internet.Kontakt tylko telefoniczny; 511 435 131",550,Właściciel,Nie podano,18,Nie podano,Mieszkanie,Mężczyzna,Nie,Nie,27
Mokotów,"Pokój umeblowany: wersalka, szafa wnękowa, kredens, biurko, stolik.
W mieszkaniu dwupokojowym bez właściciela.
Drugi pokój zajmuje para spokojnych, pracujących młodych osób.
Do dyspozycji kuchnia i łazienka.

Pokój nieprzechodni, zamykany.
W bloku, wysoki parter. Okolica spokojna, blok monitorowany. 
W pobliżu dużo sklepów (także Biedronka), targowisko, poczta...

Blisko pętla autobusowa, dobry dojazd do metra. Blisko do Galerii Mokotów.
Pokój wolny od zaraz.
Czynsz: 800 zł + media wg liczników lub według ustalenia.
Adres: Gotarda róg Bokserskiej.

Bliższe informacje tel. 602 881 831",800,Właściciel,Współdzielenie mieszkania/domu,12,Nie podano,Mieszkanie,Bez preferencji,Nie,Tak,79
Mokotów,"Witam!Posiadam do wynajęcia duży pokój o powierzchni ok 16m2 w mieszkaniu 75m2.W pokoju znajduje się szafa(drzwiczki zostaną naprawione do końca września), biurko, krzesło, komoda oraz wygodne dwuosobowe łózko.Mieszkanie mieści się na Mokotowie na ul. Baboszewskiej.Wielkim atutem mieszkania jest kuchnia połączona z salonem ( ok 30m2) do którego każdy ma dostęp, również TY! Dzięki temu nie będziesz siedział ciągle w jednym pokoju a będziesz mógł spokojnie zrelaksować się w salonie na wygodnej skórzanej kanapie ;)Świetna lokalizacja !Bardzo blisko przystanek autobusowy, tramwajowy, oraz metro Racławicka. W pobliżu znajdują się liczne sklepy oraz bazarek na którym zawsze można kupić świeże owoce i warzywa. Jeżeli chodzi o resztę mieszkańców, jest to para pracujących studentów, bez zwierząt, bez nałogów ;>Szukamy osoby otwartej, z którą będzie można posiedzieć, pogadać, czasem napić się %% czy obejrzeć film. Zależy nam aby w mieszkaniu panowała miła i luźna atmosfera, aby każdy czuł się jak u siebie.Czynsz 1300zl + 150zl opłaty licznikowe w tym WI FIKaucja w wysokości jednomiesięcznego czynszuPokój jest wolny od zarazW razie pytań proszę o kontakt telefoniczny, sms-owy bądź mailowy.Dominik 512780522Karolina 665655878-------------------------------------------------------------------------------------------------------------------Hello!I have to rent a large room(16m2) in the apartment 75m2.The room has a closet (doors will be repaired), desk, chair, chest of drawers and a comfortable double bed.The apartment is located in Mokotów, Baboszewska street.The great advantage of the apartment is a kitchen connected with living room (about 30m2) to which everyone has access, even YOU! Great location!Very close to bus, tram and subway Racławicka.there are a lot of shops, baazaar where you can always buy fresh fruit and vegetables.As regards the rest of the population, is a pair working students.We are looking for people open, with which you will be able to sit, talk, and sometimes drink %% or watch a movie. Rent 1300zł + 150zł bills(included WI FI)A deposit of one month's rentThe room is free immediatelyIf you have questions, please contact me: phone, sms or mail.Dominik 512 780 522",1300,Właściciel,Współdzielenie mieszkania/domu,75,3 pokoje,Inne,Bez preferencji,Tak,Tak,323
Mokotów,"Mieszkanie dobrze zlokalizowane, ok 200m od stacji m.wierzbno. W drugim pokoju lekarz. Mieszkanie po remoncie.",1200,Właściciel,Współdzielenie pokoju,20,2 pokoje,Mieszkanie,Bez preferencji,Nie,Nie,15
Mokotów,"Pokój z nowymi meblami przy Bonifacego. W pokoju szafa, komoda, rozkładana sofa oraz stolik. Współdzielenie mieszkania z młodymi pracującymi i studiującymi osobami. Do wynajęcia jest także drugi pokój. Cena 650 zł plus kaucja 650 zł. telefon: 791566206",650,Właściciel,Współdzielenie mieszkania/domu,10,4 pokoje,Mieszkanie,Bez preferencji,Tak,Tak,37
Ochota,"wynajmę pokój na Rakowcu dla osoby pracującej, parter, umeblowane. cena 650 zł plus miesięczna kaucja. dostępne od 01/11/2016",650,Właściciel,Współdzielenie mieszkania/domu,10,Kawalerka lub garsoniera,Mieszkanie,Bez preferencji,Tak,Nie,20
Ochota,"Pokoj 12 m dla mlodego pracujacego lub studenta , oddzielne wejscie bez wlasciciela, umeblowany, lazienka , AGD RTV.Blisko Dworca Zachodniego przy Blou City,",800,Właściciel,Współdzielenie mieszkania/domu,12,Kawalerka lub garsoniera,Mieszkanie,Mężczyzna,Nie,Nie,21
Praga Południe,"Do wynajęcia duży pokój z balkonem na Gocławiu dla 1 lub 2 osób  (balkon duży spokojnie zmieści się suszarka na pranie , choć łazience również jest lub stolik ). () W pokoju łóżko , biurko , szafki , 2 fotele, komoda, szafka pod telewizor .Pokój nieprzechodni i zamykany na klucz. Mieszkanie bez właściciela, umeblowane i wyposażone  pralka, lodówka, kuchenka z piekarnikiem  i inne .Cicha i spokojna okolica.  Cena  to 1000zł  plus opłaty ok 62zl/m-c/os  kaucja zwrotna (uczciwie) za jeden miesiąc. Wszędzie blisko, ok 15 min do ścisłego centrum. W pobliżu pętla autobusowa , przystanki pod blokiem oraz CH Promenada, apteka, sklepy, markety. Można oczywiście obejrzeć nic to nie kosztuje :)   zapraszamy  tel 790 215 364",1000,Właściciel,Współdzielenie mieszkania/domu,65,3 pokoje,Mieszkanie,Kobieta,Tak,Nie,110
